;wordcount;sentimentValue;Star Rating;titleSentiment
0;23;-0.4863892549767946;1;0.0
1;20;-0.5861874727339228;1;0.0
2;4;-0.6022402747857277;1;0.0
3;17;-0.6162712056633162;1;0.0
4;6;-0.6517836008462109;1;0.0
5;8;-0.7204429256151285;1;1.0
6;23;-0.7268254087888714;1;1.0
7;16;-0.7367694709092752;1;1.0
8;21;-0.765283702598727;1;1.0
9;13;-0.7979612300412889;1;0.0
10;4;-0.8334875979937725;1;1.0
11;9;-0.8384665315151861;1;0.0
12;4;-0.8885590350462715;1;1.0
13;23;-1.002696144743075;1;0.0
14;14;-1.0832692852163408;1;0.0
15;20;-1.0981097654004746;1;1.0
16;26;-1.1044687905632284;1;0.0
17;7;-1.1122230773375148;1;1.0
18;5;-1.2754114957137634;1;1.0
19;22;-1.2860092681818858;1;1.0
20;13;-1.4556395345744062;1;1.0
21;7;-1.4794328016280442;1;0.0
22;18;-1.4983055361035678;1;0.0
23;4;-1.780889062388097;1;1.0
24;2;-2.2764690274042017;1;1.0
25;29;0.10767141790243916;1;1.0
26;30;-0.0626158036127862;2;0.0
27;63;-0.06328214227918394;2;1.0
28;33;-0.13013846864374606;2;0.0
29;34;-0.2017099026902854;2;1.0
30;76;-0.29519369790259514;2;1.0
31;34;-0.5529856995159401;2;0.0
32;36;-0.6150217745307491;2;0.0
33;63;-0.6422284312075216;2;0.0
34;45;-0.7478047635470271;2;1.0
35;27;-0.769308686900702;2;1.0
36;32;-0.950120971741788;2;0.0
37;103;-1.7072675742817744;2;0.0
38;22;0.05284059831051055;2;0.0
39;20;0.057927909239582936;2;1.0
40;27;0.07377855452117438;2;1.0
41;9;-0.012039393687097305;3;1.0
42;13;-0.015018770703305125;3;1.0
43;15;-0.02203456782761065;3;1.0
44;3;-0.03615526973124592;3;1.0
45;6;-0.0484385138839592;3;1.0
46;20;-0.061754834557504475;3;1.0
47;3;-0.06548326036342844;3;1.0
48;13;-0.0704406232354751;3;1.0
49;9;-0.07448342800403986;3;1.0
50;1;-0.08346704904653582;3;1.0
51;1;-0.08346704904653582;3;1.0
52;5;-0.08882448599132553;3;1.0
53;2;-0.08963883232680414;3;1.0
54;7;-0.09240115128518386;3;1.0
55;15;-0.09638654904084852;3;1.0
56;23;-0.10042182354190893;3;1.0
57;4;-0.1064984374578312;3;1.0
58;9;-0.1074556652070253;3;1.0
59;3;-0.10775523999516727;3;1.0
60;8;-0.10814371461498164;3;1.0
61;10;-0.11096697038982636;3;1.0
62;6;-0.11431720347482052;3;1.0
63;3;-0.11613173926055576;3;1.0
64;19;-0.13794345046074333;3;0.0
65;1;-0.13986075568569298;3;1.0
66;1;-0.13986075568569298;3;1.0
67;1;-0.13986075568569298;3;1.0
68;1;-0.13986075568569298;3;1.0
69;1;-0.17170072936267156;3;1.0
70;1;-0.2130919859236215;3;1.0
71;7;-0.2274631454462939;3;1.0
72;2;-0.23629542044756485;3;1.0
73;5;-0.2467298095503881;3;1.0
74;4;-0.2560262204901055;1;1.0
75;4;-0.25611160754397866;3;0.0
76;17;-0.2576389991643603;3;1.0
77;23;-0.3004906199866349;3;0.0
78;4;-0.31181988969029617;1;1.0
79;13;-0.348732833470111;1;1.0
80;12;-0.35579036269293624;1;0.0
81;6;-0.36533658725483215;1;1.0
82;14;-0.3761207999456423;1;0.0
83;7;-0.3968495101172904;1;1.0
84;28;-0.4066233781151816;3;1.0
85;5;-0.4396393261847105;1;0.0
86;23;-0.4467301899351924;3;1.0
87;7;-0.4656456056672159;1;1.0
88;4;-0.4661015340821958;1;0.0
89;18;-0.4937843434171307;1;0.0
90;20;0.0015458031549769882;3;1.0
91;5;0.004819817714089875;3;1.0
92;4;0.02033969516150436;3;1.0
93;19;0.03439429705735838;3;1.0
94;17;0.0351123421389235;3;1.0
95;12;0.0398963636518567;3;1.0
96;3;0.04236859354618228;3;1.0
97;9;0.04847532327064269;3;1.0
98;5;0.06669354795085583;3;1.0
99;6;0.07815662120106984;3;1.0
100;2;0.08126441115899682;3;1.0
101;18;0.10467416228013082;3;1.0
102;4;0.12512618262801434;3;1.0
103;15;0.13208709472507926;3;1.0
104;5;0.1362066817120937;3;1.0
105;4;0.13688160628659302;3;1.0
106;1;0.15190035179953834;3;1.0
107;1;0.1531406057644038;3;1.0
108;6;0.15743590695210294;3;1.0
109;6;0.1606161692201734;3;1.0
110;4;0.17065059065492616;3;1.0
111;16;0.19001489537875327;3;1.0
112;12;0.20119861104954476;3;1.0
113;9;0.21267373358731967;3;1.0
114;11;0.2182298800874059;3;1.0
115;4;0.2377168624304036;3;1.0
116;8;0.238395932002064;3;1.0
117;11;0.24471265082844584;3;1.0
118;6;0.2468685639154956;3;1.0
119;11;0.28162417593293426;3;1.0
120;8;0.28367333153993;3;1.0
121;1;0.2882236092979837;3;1.0
122;10;0.2972720086344186;3;1.0
123;1;0.2974433331945397;3;1.0
124;3;0.2977907584894947;3;1.0
125;5;0.3015209006692449;3;0.0
126;22;0.3084238713856797;3;1.0
127;2;0.3104676549447563;3;1.0
128;2;2.0662937141654543;3;1.0
129;1;2.4949019031120727;3;1.0
130;7;0.10711075562158764;4;1.0
131;38;0.13676550040935065;2;1.0
132;49;0.14560205757193667;2;1.0
133;28;0.15716006123353302;2;1.0
